CODA Motion Analysis: throw0009.MDF [throw_1.stp]
Graph data: "export: scapula_humerus  *  Time"
Time	Marker Position																								Vector Angle		
Time	distal_hand.X	distal_hand.Y	distal_hand.Z	proximal_hand.X	proximal_hand.Y	proximal_hand.Z	distal_radius.X	distal_radius.Y	distal_radius.Z	proximal_radius.X	proximal_radius.Y	proximal_radius.Z	distal_humerus.X	distal_humerus.Y	distal_humerus.Z	proxinmal_humerus.X	proxinmal_humerus.Y	proxinmal_humerus.Z	distal_scapula.X	distal_scapula.Y	distal_scapula.Z	proximal_scapula.X	proximal_scapula.Y	proximal_scapula.Z	wrist__forearm	foream_arm	scapula_humerus
(s)	(mm)	(mm)	(mm)	(mm)	(mm)	(mm)	(mm)	(mm)	(mm)	(mm)	(mm)	(mm)	(mm)	(mm)	(mm)	(mm)	(mm)	(mm)	(mm)	(mm)	(mm)	(mm)	(mm)	(mm)	(deg)	(deg)	(deg)
0.00000	395.79	-301.64	378.63	397.80	-289.28	436.36	398.46	-272.76	469.41	266.19	-273.72	710.57	261.80	-275.43	724.28	289.97	-280.06	1049.42	291.79	-264.86	1085.02	211.46	-245.27	1014.02	-30.74	146.30	43.57
0.00500	395.81	-301.54	378.57	397.82	-289.26	436.32	398.46	-272.70	469.40	266.19	-273.81	710.52	261.78	-275.46	724.29	290.02	-280.10	1049.42	291.82	-264.88	1085.00	211.50	-245.26	1013.98	-30.74	146.29	43.55
0.01000	395.81	-301.53	378.53	397.76	-289.24	436.29	398.42	-272.72	469.36	266.15	-273.83	710.38	261.73	-275.47	724.27	290.05	-280.10	1049.38	291.90	-264.90	1084.96	211.55	-245.23	1013.95	-30.69	146.26	43.55
0.01500	395.89	-301.51	378.49	397.78	-289.19	436.24	398.46	-272.71	469.36	266.13	-273.80	710.33	261.69	-275.46	724.22	290.23	-280.09	1049.38	291.97	-264.88	1084.91	211.56	-245.22	1013.90	-30.64	146.21	43.54
0.02000	395.95	-301.51	378.50	397.78	-289.20	436.21	398.45	-272.67	469.32	266.04	-273.81	710.27	261.66	-275.45	724.21	290.32	-280.11	1049.36	292.03	-264.86	1084.84	211.61	-245.19	1013.93	-30.61	146.17	43.56
0.02500	396.03	-301.45	378.39	397.89	-289.16	436.18	398.51	-272.64	469.29	265.99	-273.80	710.30	261.67	-275.46	724.19	290.41	-280.14	1049.33	292.08	-264.86	1084.79	211.66	-245.16	1013.89	-30.64	146.14	43.55
0.03000	396.11	-301.36	378.38	397.92	-289.06	436.20	398.47	-272.56	469.30	265.91	-273.82	710.31	261.62	-275.54	724.17	290.42	-280.19	1049.29	292.13	-264.89	1084.76	211.71	-245.16	1013.84	-30.61	146.13	43.53
0.03500	396.24	-301.29	378.37	397.95	-289.00	436.18	398.57	-272.50	469.33	265.90	-273.90	710.28	261.57	-275.55	724.07	290.37	-280.25	1049.23	292.19	-264.92	1084.71	211.68	-245.13	1013.75	-30.53	146.10	43.54
0.04000	396.36	-301.27	378.47	398.00	-288.95	436.22	398.58	-272.41	469.34	265.89	-273.97	710.20	261.54	-275.54	724.01	290.39	-280.32	1049.19	292.25	-264.93	1084.65	211.70	-245.15	1013.73	-30.48	146.08	43.56
0.04500	396.42	-301.18	378.44	398.13	-288.86	436.20	398.69	-272.39	469.28	265.85	-274.03	710.12	261.54	-275.54	723.96	290.43	-280.38	1049.15	292.30	-264.99	1084.61	211.71	-245.20	1013.70	-30.57	146.04	43.58
0.05000	396.46	-301.13	378.43	398.29	-288.81	436.22	398.76	-272.28	469.24	265.87	-274.09	710.14	261.56	-275.59	723.98	290.49	-280.37	1049.11	292.36	-265.01	1084.61	211.77	-245.18	1013.72	-30.70	146.03	43.58
0.05500	396.55	-301.02	378.41	398.45	-288.74	436.18	398.93	-272.20	469.27	265.86	-274.12	710.14	261.58	-275.60	723.93	290.50	-280.39	1049.06	292.38	-265.08	1084.59	211.83	-245.21	1013.73	-30.80	146.00	43.58
0.06000	396.70	-301.00	378.47	398.55	-288.62	436.23	399.07	-272.17	469.26	265.95	-274.12	710.15	261.58	-275.69	723.90	290.52	-280.42	1049.07	292.40	-265.12	1084.58	211.87	-245.22	1013.76	-30.76	145.99	43.59
0.06500	396.85	-300.92	378.51	398.61	-288.54	436.22	399.13	-272.07	469.30	265.95	-274.18	710.04	261.57	-275.74	723.82	290.70	-280.44	1049.06	292.43	-265.15	1084.55	211.86	-245.28	1013.76	-30.70	145.93	43.58
0.07000	397.00	-300.85	378.58	398.68	-288.48	436.23	399.26	-271.96	469.29	265.99	-274.24	709.97	261.58	-275.85	723.83	290.79	-280.47	1049.04	292.51	-265.18	1084.51	211.87	-245.29	1013.74	-30.64	145.89	43.60
0.07500	397.17	-300.72	378.57	398.84	-288.36	436.22	399.38	-271.89	469.33	265.94	-274.28	709.84	261.60	-275.94	723.80	290.82	-280.48	1048.96	292.59	-265.23	1084.46	211.93	-245.35	1013.78	-30.68	145.84	43.64
0.08000	397.28	-300.69	378.63	398.99	-288.30	436.21	399.59	-271.82	469.40	265.90	-274.37	709.83	261.60	-276.01	723.84	290.77	-280.48	1048.89	292.66	-265.23	1084.39	212.01	-245.43	1013.76	-30.78	145.80	43.66
0.08500	397.50	-300.59	378.67	399.25	-288.23	436.23	399.82	-271.72	469.45	265.90	-274.42	709.75	261.60	-276.05	723.77	290.80	-280.48	1048.83	292.74	-265.24	1084.33	212.10	-245.49	1013.77	-30.87	145.74	43.68
0.09000	397.71	-300.50	378.78	399.45	-288.12	436.29	400.06	-271.61	469.51	265.95	-274.43	709.71	261.63	-276.14	723.74	290.86	-280.50	1048.80	292.82	-265.28	1084.26	212.18	-245.58	1013.74	-30.90	145.69	43.69
0.09500	397.95	-300.36	378.81	399.73	-288.04	436.40	400.33	-271.55	469.54	266.00	-274.45	709.58	261.63	-276.23	723.64	290.94	-280.49	1048.73	292.94	-265.28	1084.19	212.22	-245.60	1013.74	-31.00	145.62	43.74
0.10000	398.21	-300.24	378.89	399.96	-287.96	436.48	400.56	-271.40	469.62	266.06	-274.57	709.50	261.63	-276.37	723.58	291.01	-280.49	1048.67	293.05	-265.26	1084.09	212.24	-245.67	1013.73	-31.03	145.56	43.79
0.10500	398.52	-300.09	378.92	400.26	-287.87	436.56	400.83	-271.26	469.67	266.07	-274.67	709.42	261.59	-276.48	723.48	291.11	-280.52	1048.58	293.17	-265.30	1084.04	212.26	-245.77	1013.71	-31.07	145.47	43.81
0.11000	398.93	-299.98	379.04	400.60	-287.77	436.62	401.06	-271.22	469.72	266.05	-274.80	709.34	261.64	-276.60	723.41	291.22	-280.54	1048.52	293.29	-265.30	1083.98	212.40	-245.72	1013.73	-31.06	145.40	43.83
0.11500	399.33	-299.83	379.09	400.95	-287.68	436.75	401.46	-271.08	469.83	266.00	-274.85	709.25	261.65	-276.59	723.33	291.42	-280.57	1048.46	293.45	-265.32	1083.93	212.55	-245.83	1013.71	-31.11	145.27	43.81
0.12000	399.66	-299.68	379.23	401.31	-287.56	436.88	401.82	-270.96	469.97	266.01	-274.94	709.19	261.67	-276.72	723.29	291.58	-280.59	1048.40	293.62	-265.30	1083.86	212.70	-245.90	1013.69	-31.23	145.16	43.81
0.12500	400.15	-299.49	379.32	401.74	-287.45	437.05	402.20	-270.87	470.05	266.00	-275.04	709.15	261.64	-276.79	723.23	291.73	-280.67	1048.36	293.79	-265.35	1083.81	212.76	-245.96	1013.65	-31.25	145.04	43.82
0.13000	400.58	-299.38	379.46	402.16	-287.33	437.13	402.64	-270.79	470.24	266.02	-275.22	709.07	261.67	-276.89	723.19	291.85	-280.75	1048.30	293.94	-265.42	1083.78	212.87	-246.10	1013.63	-31.33	144.93	43.83
0.13500	401.24	-299.20	379.61	402.63	-287.20	437.23	403.12	-270.70	470.41	266.09	-275.35	708.95	261.73	-277.06	723.09	292.00	-280.81	1048.25	294.12	-265.52	1083.72	213.01	-246.18	1013.66	-31.26	144.81	43.86
0.14000	401.80	-299.06	379.79	403.09	-287.09	437.39	403.54	-270.64	470.61	266.25	-275.46	708.87	261.82	-277.20	723.08	292.20	-280.86	1048.17	294.28	-265.55	1083.65	213.17	-246.23	1013.70	-31.23	144.71	43.89
0.14500	402.42	-298.90	379.95	403.61	-287.02	437.58	403.96	-270.59	470.73	266.40	-275.61	708.82	261.89	-277.28	723.02	292.43	-280.92	1048.16	294.45	-265.59	1083.61	213.32	-246.30	1013.74	-31.20	144.62	43.90
0.15000	403.00	-298.78	380.16	404.21	-286.85	437.76	404.48	-270.48	470.95	266.53	-275.72	708.85	261.98	-277.38	723.06	292.65	-280.95	1048.19	294.61	-265.65	1083.59	213.42	-246.38	1013.79	-31.32	144.50	43.93
0.15500	403.74	-298.62	380.39	404.84	-286.70	437.94	405.15	-270.42	471.20	266.64	-275.76	708.83	262.05	-277.51	723.02	292.89	-280.98	1048.24	294.79	-265.69	1083.60	213.47	-246.35	1013.81	-31.32	144.35	43.94
0.16000	404.53	-298.50	380.62	405.46	-286.56	438.15	405.77	-270.37	471.43	266.79	-275.83	708.81	262.17	-277.58	723.02	293.03	-281.03	1048.24	294.97	-265.74	1083.60	213.54	-246.40	1013.87	-31.27	144.23	44.01
0.16500	405.37	-298.33	380.85	406.14	-286.42	438.42	406.33	-270.24	471.64	266.94	-275.91	708.78	262.33	-277.66	722.95	293.15	-281.11	1048.21	295.15	-265.81	1083.59	213.64	-246.59	1013.93	-31.22	144.14	44.07
0.17000	406.18	-298.18	381.10	406.81	-286.31	438.61	406.95	-270.18	471.82	267.12	-276.04	708.71	262.51	-277.82	722.90	293.27	-281.16	1048.19	295.34	-265.84	1083.55	213.74	-246.66	1013.97	-31.18	144.05	44.14
0.17500	407.04	-298.04	381.35	407.58	-286.17	438.84	407.59	-270.07	472.06	267.31	-276.18	708.64	262.69	-277.88	722.87	293.42	-281.26	1048.17	295.53	-265.89	1083.55	213.81	-246.72	1014.00	-31.20	143.94	44.20
0.18000	408.00	-297.92	381.67	408.28	-286.04	439.07	408.43	-269.95	472.29	267.51	-276.28	708.55	262.85	-278.00	722.85	293.57	-281.31	1048.16	295.73	-265.91	1083.55	213.93	-246.81	1014.01	-31.09	143.79	44.24
0.18500	408.89	-297.75	381.89	409.14	-285.92	439.34	409.21	-269.80	472.60	267.66	-276.29	708.46	263.01	-278.08	722.81	293.70	-281.38	1048.15	295.89	-265.93	1083.57	214.04	-246.82	1014.11	-31.22	143.64	44.29
0.19000	409.98	-297.62	382.23	410.00	-285.79	439.63	410.02	-269.67	472.87	267.91	-276.31	708.44	263.23	-278.12	722.77	293.92	-281.40	1048.17	296.03	-265.93	1083.55	214.22	-246.89	1014.23	-31.12	143.51	44.33
0.19500	411.05	-297.51	382.49	410.93	-285.66	439.90	410.86	-269.57	473.11	268.16	-276.40	708.46	263.48	-278.16	722.70	294.11	-281.44	1048.19	296.14	-265.96	1083.54	214.35	-246.94	1014.30	-31.11	143.39	44.38
0.20000	412.25	-297.40	382.87	411.89	-285.55	440.24	411.79	-269.44	473.41	268.55	-276.40	708.44	263.77	-278.27	722.69	294.23	-281.47	1048.18	296.28	-266.01	1083.51	214.49	-247.00	1014.31	-31.00	143.29	44.42
0.20500	413.38	-297.24	383.22	412.97	-285.44	440.56	412.83	-269.32	473.68	268.94	-276.47	708.35	264.06	-278.36	722.63	294.34	-281.53	1048.19	296.42	-266.08	1083.51	214.56	-247.13	1014.35	-31.10	143.17	44.49
0.21000	414.60	-297.15	383.60	414.12	-285.34	440.93	413.83	-269.23	474.04	269.34	-276.61	708.25	264.41	-278.42	722.58	294.40	-281.62	1048.17	296.55	-266.12	1083.51	214.65	-247.26	1014.39	-31.19	143.07	44.58
